Code,Value,Description
00,0.0,
01,0.1,
02,0.2,
03,0.3,
04,0.4,
05,0.5,
06,0.6,
07,0.7,
08,0.8,
09,0.9,
10,1.0,
11,1.1,
12,1.2,
13,1.3,
14,1.4,
15,1.5,
16,1.6,
17,1.7,
18,1.8,
19,1.9,
20,2.0,
21,2.1,
22,2.2,
23,2.3,
24,2.4,
25,2.5,
26,2.6,
27,2.7,
28,2.8,
29,2.9,
30,3.0,
31,3.1,
32,3.2,
33,3.3,
34,3.4,
35,3.5,
36,3.6,
37,3.7,
38,3.8,
39,3.9,
40,4.0,
41,4.1,
42,4.2,
43,4.3,
44,4.4,
45,4.5,
46,4.6,
47,4.7,
48,4.8,
49,4.9,
50,5.0,
51,,Not used
52,,Not used
53,,Not used
54,,Not used
55,,Not used
56,6.0,
57,7.0,
58,8.0,
59,9.0,
60,10.0,
61,11.0,
62,12.0,
63,13.0,
64,14.0,
65,15.0,
66,16.0,
67,17.0,
68,18.0,
69,19.0,
70,20.0,
71,21.0,
72,22.0,
73,23.0,
74,24.0,
75,25.0,
76,26.0,
77,27.0,
78,28.0,
79,29.0,
80,30.0,
81,31.0,
82,32.0,
83,33.0,
84,34.0,
85,35.0,
86,36.0,
87,37.0,
88,38.0,
89,39.0,
90,40.0,
91,41.0,
92,42.0,
93,43.0,
94,44.0,
95,45.0,
96,46.0,
97,47.0,
98,48.0,
99,49.0,
//,,No humidity data available
