Code,Description
00,"No wind finding"
01,"Optical theodolite"
02,"Radiotheodolite (2.4 GHz)"
03,"Radiotheodolite (403 MHz)"
04,"Radio direction-finder"
05,"Radar (10 cm) without transponder"
06,"Radar (10 cm) with transponder"
07,"Radar (10 cm)"
08,"Radar (5 cm)"
09,"Radar (3 cm)"
10,"Secondary surveillance radar"
11,"Radar with automated tracking"
12,"Wind profiler"
13,"Loran-C"
14,"Argos Doppler"
15,"VLF"
16,"Omega"
17,"GPS (differential)"
18,"GPS (relative)"
19,"GPS (standalone / autonomous)"
20,"VLF-Omega"
21,"GLONASS"
22,"Galileo"
23,"BeiDou"
24,"Multi-GNSS (GPS/GLONASS/Galileo)"
//,"Tracking system unknown or missing"
