Code,Description
0,"No CL clouds"
1,"Cumulus humilis and/or fractus other than of bad weather"
2,"Cumulus mediocris or congestus, with or without Cumulus of species in code 1"
3,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus"
4,"Stratocumulus cumulogenitus"
5,"Stratocumulus other than cumulogenitus"
6,"Stratus nebulosus and/or fractus other than of bad weather"
7,"Stratus fractus and/or Cumulus fractus of bad weather"
8,"Cumulus and Stratocumulus other than cumulogenitus, with bases at different levels"
9,"Cumulonimbus capillatus, with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus"
/,"CL clouds invisible owing to darkness, fog, blowing dust or sand, or other similar phenomena"
